Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
55017223,08/05/2022 12:42:04 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11421,93-26 86 ROAD,86 ROAD,,,,,ADDRESS,WOODHAVEN,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/11/2023 12:00:00 AM,09 QUEENS,4088810007,QUEENS,1025297,192464,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.69485080194596,-73.85197732662208,"(40.69485080194596, -73.85197732662208)"
55129463,08/17/2022 11:06:15 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11421,85-59 75 STREET,75 STREET,,,,,ADDRESS,WOODHAVEN,,,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,02/11/2023 12:00:00 AM,09 QUEENS,4088390169,QUEENS,1021103,191903,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.69332944721179,-73.8671046701016,"(40.69332944721179, -73.8671046701016)"
55195007,08/24/2022 04:43:56 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11373,91-02 48 AVENUE,48 AVENUE,,,,,ADDRESS,ELMHURST,,,Closed,,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,02/11/2023 12:00:00 AM,04 QUEENS,4018500001,QUEENS,1019239,209458,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.741521224361854,-73.87373516784339,"(40.741521224361854, -73.87373516784339)"
55292827,09/03/2022 11:51:03 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11421,89-29 91 STREET,91 STREET,,,,,ADDRESS,WOODHAVEN,,,Closed,,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,02/11/2023 12:00:00 AM,09 QUEENS,4089730043,QUEENS,1025040,190855,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.69043566328808,-73.85291385470191,"(40.69043566328808, -73.85291385470191)"
55307037,09/04/2022 05:31:16 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11373,83-20 PETTIT AVENUE,PETTIT AVENUE,,,,,ADDRESS,ELMHURST,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/11/2023 12:00:00 AM,04 QUEENS,4015060043,QUEENS,1016829,210869,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.74540326988815,-73.8824252915189,"(40.74540326988815, -73.8824252915189)"
55308963,09/05/2022 04:59:51 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,,11354,140-86 34 AVENUE,34 AVENUE,,,,,ADDRESS,FLUSHING,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/11/2023 12:00:00 AM,07 QUEENS,4049940049,QUEENS,1032192,218590,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.766525464257626,-73.82692666035982,"(40.766525464257626, -73.82692666035982)"
55314324,09/05/2022 07:14:41 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,,11367,147-35 78 AVENUE,78 AVENUE,,,,,ADDRESS,FLUSHING,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/11/2023 12:00:00 AM,08 QUEENS,4066880051,QUEENS,1035253,201910,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.72072600381174,-73.81600279072347,"(40.72072600381174, -73.81600279072347)"
55317335,09/06/2022 04:52:31 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11421,89-14 78 STREET,78 STREET,,,,,ADDRESS,WOODHAVEN,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/11/2023 12:00:00 AM,09 QUEENS,4089070033,QUEENS,1022234,190073,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.68830174321084,-73.86303650409631,"(40.68830174321084, -73.86303650409631)"
55327217,09/07/2022 09:12:21 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11421,76-44 PARK LANE SOUTH,PARK LANE SOUTH,,,,,ADDRESS,WOODHAVEN,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/11/2023 12:00:00 AM,09 QUEENS,4088460014,QUEENS,1021475,192610,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.695268439260374,-73.86575929869373,"(40.695268439260374, -73.86575929869373)"
55328464,09/07/2022 10:09:04 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,11361,209-57 46 AVENUE,46 AVENUE,,,,,ADDRESS,BAYSIDE,,,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,02/11/2023 12:00:00 AM,11 QUEENS,4073110040,QUEENS,1047191,215185,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.75708558219203,-73.7728115139872,"(40.75708558219203, -73.7728115139872)"
55383841,09/11/2022 04:13:31 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,11361,220-03 46 AVENUE,46 AVENUE,,,,,ADDRESS,BAYSIDE,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/11/2023 12:00:00 AM,11 QUEENS,4074730040,QUEENS,1050442,216169,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.759762660178325,-73.76106724611424,"(40.759762660178325, -73.76106724611424)"
55500805,09/22/2022 09:04:39 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11373,82-42 PETTIT AVENUE,PETTIT AVENUE,,,,,ADDRESS,ELMHURST,,,Closed,,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,02/11/2023 12:00:00 AM,04 QUEENS,4015070046,QUEENS,1016704,210655,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.74481635362318,-73.88287743746217,"(40.74481635362318, -73.88287743746217)"
55547624,09/28/2022 02:37:48 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11368,107-02 34 AVENUE,34 AVENUE,,,,,ADDRESS,CORONA,,,Closed,,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,02/11/2023 12:00:00 AM,03 QUEENS,4017490001,QUEENS,1022631,214810,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.7561970275154,-73.86146392931914,"(40.7561970275154, -73.86146392931914)"
55563154,09/30/2022 03:27:16 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11373,40-27 WARREN STREET,WARREN STREET,,,,,ADDRESS,ELMHURST,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/11/2023 12:00:00 AM,04 QUEENS,4015960016,QUEENS,1020307,211908,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.74824156379747,-73.86986794656961,"(40.74824156379747, -73.86986794656961)"
55577363,10/01/2022 10:17:23 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11372,35-15 92 STREET,92 STREET,,,,,ADDRESS,JACKSON HEIGHTS,,,Closed,,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,02/11/2023 12:00:00 AM,03 QUEENS,4014660064,QUEENS,1018796,213435,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.75243882109325,-73.87531339166411,"(40.75243882109325, -73.87531339166411)"
55593679,10/03/2022 08:33:21 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11368,108-23 51 AVENUE,51 AVENUE,,,,,ADDRESS,CORONA,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/11/2023 12:00:00 AM,04 QUEENS,4020060079,QUEENS,1024604,210448,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.74421567043408,-73.8543685818671,"(40.74421567043408, -73.8543685818671)"
55617286,10/05/2022 03:41:13 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11369,32-26 87 STREET,87 STREET,,,,,ADDRESS,EAST ELMHURST,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/11/2023 12:00:00 AM,03 QUEENS,4014160019,QUEENS,1017226,215230,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.75737162958329,-73.88097116992614,"(40.75737162958329, -73.88097116992614)"
55655512,10/09/2022 03:34:14 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11370,24-21 78 STREET,78 STREET,,,,,ADDRESS,EAST ELMHURST,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/11/2023 12:00:00 AM,03 QUEENS,4010420064,QUEENS,1014540,217625,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.76395489472562,-73.89065564480678,"(40.76395489472562, -73.89065564480678)"
55676659,10/12/2022 11:20:51 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11368,106-08 37 AVENUE,37 AVENUE,,,,,ADDRESS,CORONA,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/11/2023 12:00:00 AM,03 QUEENS,4017710019,QUEENS,1022483,213970,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.75389208520989,-73.86200291030777,"(40.75389208520989, -73.86200291030777)"
55685315,10/13/2022 09:50:04 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11373,86-22 DONGAN AVENUE,DONGAN AVENUE,,,,,ADDRESS,ELMHURST,,,Closed,,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,02/11/2023 12:00:00 AM,04 QUEENS,4015810014,QUEENS,1017911,209213,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.74085391531143,-73.87852874226225,"(40.74085391531143, -73.87852874226225)"
56244480,12/13/2022 07:50:34 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,,10033,1370 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,02/11/2023 12:00:00 AM,12 MANHATTAN,1021530001,MANHATTAN,1002274,248150,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.84777109169902,-73.93485290083406,"(40.84777109169902, -73.93485290083406)"
56563999,01/18/2023 08:55:54 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,,10027,320 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/11/2023 12:00:00 AM,10 MANHATTAN,1019520043,MANHATTAN,997492,234873,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.81133800030572,-73.9521634703774,"(40.81133800030572, -73.9521634703774)"
56698647,02/01/2023 09:29:19 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,10025,34 WEST   96 STREET,WEST   96 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,02/11/2023 12:00:00 AM,07 MANHATTAN,1012090046,MANHATTAN,993758,227849,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.79206385275656,-73.96566243511708,"(40.79206385275656, -73.96566243511708)"
56715795,02/04/2023 01:37:09 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Emergency Response Team (ERT),After Hours Work - Illegal,,10075,317 EAST   78 STREET,EAST   78 STREET,,,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/11/2023 12:00:00 AM,08 MANHATTAN,1014530011,MANHATTAN,996740,220683,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.77239137612715,-73.95490644715464,"(40.77239137612715, -73.95490644715464)"
56722657,02/05/2023 11:15:07 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Emergency Response Team (ERT),After Hours Work - Illegal,,11205,249 WILLOUGHBY AVENUE,WILLOUGHBY AVENUE,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/11/2023 12:00:00 AM,02 BROOKLYN,3019090053,BROOKLYN,994968,191527,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.692367654657566,-73.9613504708135,"(40.692367654657566, -73.9613504708135)"
56726891,02/04/2023 09:46:35 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Emergency Response Team (ERT),After Hours Work - Illegal,,10075,1480 YORK AVENUE,YORK AVENUE,,,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/11/2023 12:00:00 AM,08 MANHATTAN,1014900001,MANHATTAN,997913,220193,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.77104471905412,-73.95067247723996,"(40.77104471905412, -73.95067247723996)"
56732698,02/06/2023 05:49:49 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,10013,421 BROADWAY,BROADWAY,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/11/2023 12:00:00 AM,02 MANHATTAN,1002310001,MANHATTAN,983764,201433,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.7195637653162,-74.00175325017284,"(40.7195637653162, -74.00175325017284)"
56747160,02/07/2023 01:09:13 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,10302,1420 CASTLETON AVENUE,CASTLETON AVENUE,,,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/11/2023 12:00:00 AM,01 STATEN ISLAND,5010260045,STATEN ISLAND,948150,170242,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.63387796993916,-74.13006396660232,"(40.63387796993916, -74.13006396660232)"
56760356,02/09/2023 10:10:55 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,10305,563 NUGENT AVENUE,NUGENT AVENUE,,,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/11/2023 12:00:00 AM,02 STATEN ISLAND,5037110043,STATEN ISLAND,959334,150652,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.5801459763139,-74.08969711927742,"(40.5801459763139, -74.08969711927742)"
56762528,02/09/2023 08:01:59 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Adjacent Buildings Not Protected,,10458,2638 DECATUR AVENUE,DECATUR AVENUE,,,,,ADDRESS,BRONX,,,Closed,,The Department of Buildings investigated this complaint and issued a partial stop work order violation.,02/11/2023 12:00:00 AM,07 BRONX,2032770008,BRONX,1014724,254003,UNKNOWN,Unspecified,BRONX,,,,,,,,40.863801624953204,-73.8898262539072,"(40.863801624953204, -73.8898262539072)"
56763787,02/09/2023 11:47:13 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,11222,42 BRIDGEWATER STREET,BRIDGEWATER STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,02/11/2023 12:00:00 AM,01 BROOKLYN,3026660052,BROOKLYN,1002014,204290,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.72738771470235,-73.93590865138736,"(40.72738771470235, -73.93590865138736)"
56764909,02/09/2023 12:42:27 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,10014,331 WEST   14 STREET,WEST   14 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/11/2023 12:00:00 AM,04 MANHATTAN,1007380018,MANHATTAN,983119,209031,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.74041835770637,-74.00408137162908,"(40.74041835770637, -74.00408137162908)"
56767438,02/09/2023 06:21:43 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Emergency Response Team (ERT),After Hours Work - Illegal,,11435,109-20 139 STREET,139 STREET,,,,,ADDRESS,JAMAICA,,N/A,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/11/2023 12:00:00 AM,12 QUEENS,4100670083,QUEENS,1037943,189636,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.6870209237498,-73.80639630583045,"(40.6870209237498, -73.80639630583045)"
56767700,02/10/2023 11:13:25 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Excavation Undermining Adjacent Building,,10027,156 WEST  128 STREET,WEST  128 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/11/2023 12:00:00 AM,10 MANHATTAN,1019120155,MANHATTAN,999301,234510,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.81033876966022,-73.94562930007591,"(40.81033876966022, -73.94562930007591)"
56769405,02/10/2023 09:23:38 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,10025,2592 BROADWAY,BROADWAY,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and issued a partial stop work order violation.,02/11/2023 12:00:00 AM,07 MANHATTAN,1018690044,MANHATTAN,992286,229187,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.7957377618953,-73.97097687234887,"(40.7957377618953, -73.97097687234887)"
56769432,02/10/2023 08:46:48 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,,10466,620 EAST  233 STREET,EAST  233 STREET,,,,,ADDRESS,BRONX,,N/A,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/11/2023 12:00:00 AM,12 BRONX,2048350049,BRONX,1023010,265076,UNKNOWN,Unspecified,BRONX,,,,,,,,40.89416104472603,-73.85980555644454,"(40.89416104472603, -73.85980555644454)"
